City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
79,Merritt Island,US,28.5392,-80.672,88.21,57,40,10.36,scattered clouds
80,Buraydah,SA,26.326,43.975,90.05,15,0,11.03,clear sky
81,Tupa,BR,-21.9347,-50.5136,79.0,26,5,5.79,clear sky
82,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,60,0,14.97,clear sky
83,Thessalon,CA,46.2501,-83.5666,52.09,52,98,4.99,overcast clouds
84,Havre-Saint-Pierre,CA,50.2334,-63.5986,48.56,81,100,28.77,overcast clouds
85,Sinnamary,GF,5.3833,-52.95,85.73,64,28,10.36,scattered clouds
86,Harper,LR,4.375,-7.7169,78.37,83,65,7.38,broken clouds
87,Milkovo,RU,54.7167,158.6167,43.48,74,100,2.98,overcast clouds
88,Kamakwie,SL,9.5,-12.2333,77.9,93,91,4.7,light rain
89,Cam Ranh,VN,11.9214,109.1591,76.96,94,75,8.05,moderate rain
90,Ucluelet,CA,48.9329,-125.5528,58.08,94,94,0.22,overcast clouds
91,Khatanga,RU,71.9667,102.5,22.84,87,100,7.7,overcast clouds
92,San Antero,CO,9.3741,-75.7589,84.47,73,80,7.7,broken clouds
93,Nanortalik,GL,60.1432,-45.2371,42.08,97,100,12.71,overcast clouds
94,Caravelas,BR,-17.7125,-39.2481,70.95,82,100,14.05,overcast clouds
95,Torbay,CA,47.6666,-52.7314,70.57,76,20,26.46,few clouds
96,Boulsa,BF,12.6675,-0.5758,86.74,56,96,5.88,overcast clouds
97,Victoria,HK,22.2855,114.1577,83.32,76,56,8.01,broken clouds
98,Henties Bay,NA,-22.116,14.2845,55.27,88,46,8.41,scattered clouds
99,Bambous Virieux,MU,-20.3428,57.7575,71.85,73,75,17.27,light rain
100,Seoul,KR,37.5683,126.9778,63.84,97,0,3.44,clear sky
101,Waipawa,NZ,-41.4122,175.5153,48.43,96,100,9.6,overcast clouds
102,Palaikastron,GR,35.2,26.25,69.51,51,0,16.02,clear sky
103,Buenaventura,CO,3.8801,-77.0312,83.77,74,92,6.85,overcast clouds
104,Flin Flon,CA,54.7682,-101.865,62.44,45,20,9.22,few clouds
105,Nara,JP,34.6851,135.8049,63.72,81,23,0.6,few clouds
106,Collie,AU,-33.3667,116.15,41.07,89,1,0.63,clear sky
107,Markova,UA,48.6758,24.4138,44.65,80,89,5.1,overcast clouds
108,Marfino,RU,55.7028,37.3822,46.54,87,100,8.95,light intensity drizzle
109,Ponta Do Sol,PT,32.6667,-17.1,76.71,80,100,5.82,overcast clouds
110,Dunedin,NZ,-45.8742,170.5036,45.81,91,100,11.48,overcast clouds
111,Chuy,UY,-33.6971,-53.4616,63.66,48,24,6.62,few clouds
112,Souillac,MU,-20.5167,57.5167,71.98,73,75,17.27,light rain
113,Quang Ngai,VN,15.1167,108.8,74.1,92,100,5.41,overcast clouds
114,Paamiut,GL,61.994,-49.6678,39.94,79,94,19.77,overcast clouds
115,Sobolevo,RU,54.4299,31.8996,46.56,89,100,17.38,light rain
116,Faanui,PF,-16.4833,-151.75,77.49,75,56,20.04,light rain
117,Hithadhoo,MV,-0.6,73.0833,81.61,72,80,6.11,broken clouds
118,Marienburg,PL,54.0359,19.0266,55.89,57,100,3.49,overcast clouds
119,Fortuna,US,40.5982,-124.1573,77.65,43,3,4.59,clear sky
120,Araouane,ML,18.9048,-3.5265,104.18,12,27,6.49,scattered clouds
121,Kodinsk,RU,58.6881,99.1844,27.81,97,24,3.85,few clouds
122,Cidreira,BR,-30.1811,-50.2056,62.38,60,0,11.43,clear sky
123,East London,ZA,-33.0153,27.9116,67.14,88,0,6.91,clear sky
124,Half Moon Bay,US,37.4636,-122.4286,84.54,66,0,3.44,clear sky
125,San Patricio,US,28.017,-97.5169,90.91,51,79,10.63,broken clouds
126,Babai,IN,22.7,77.9333,72.68,95,100,5.14,overcast clouds
127,Zhanaozen,KZ,43.3,52.8,76.66,47,1,6.62,clear sky
128,Upernavik,GL,72.7868,-56.1549,30.25,91,63,8.63,light snow
129,Hilo,US,19.7297,-155.09,80.28,89,100,1.99,overcast clouds
130,Soyo,AO,-6.1349,12.3689,74.19,83,100,9.22,overcast clouds
131,Isla Vista,US,34.4133,-119.861,88.3,33,0,6.13,clear sky
132,Tura,IN,25.5198,90.2201,73.36,92,100,3.2,overcast clouds
133,Saskylakh,RU,71.9167,114.0833,25.65,96,100,5.53,overcast clouds
134,Atuona,PF,-9.8,-139.0333,76.6,78,25,19.04,scattered clouds
135,Kardla,EE,58.9978,22.7492,49.8,81,37,3.38,scattered clouds
136,Lae,PG,-6.7221,146.9847,73.96,84,51,5.59,broken clouds
137,Tuktoyaktuk,CA,69.4541,-133.0374,32.0,86,100,11.5,overcast clouds
138,Pevek,RU,69.7008,170.3133,30.78,73,100,14.18,overcast clouds
139,Klaksvik,FO,62.2266,-6.589,50.92,91,100,15.41,overcast clouds
140,Varkkallai,IN,8.7341,76.7067,82.18,86,95,10.11,overcast clouds
141,Bonavista,CA,48.6499,-53.1147,64.15,76,15,28.12,few clouds
142,Kolda,SN,12.8833,-14.95,93.51,59,40,4.61,scattered clouds
143,Maturin,VE,9.75,-63.1767,92.89,46,36,6.91,scattered clouds
144,Esperance,AU,-33.8667,121.9,56.35,54,59,10.11,broken clouds
145,Kaitangata,NZ,-46.2817,169.8464,46.92,93,100,11.81,overcast clouds
146,Gazli,UZ,40.1333,63.45,80.04,16,2,6.69,clear sky
147,Mar Del Plata,AR,-38.0023,-57.5575,71.62,49,0,9.22,clear sky
148,North Vernon,US,39.0062,-85.6236,73.71,59,74,13.69,broken clouds
149,Avarua,CK,-21.2078,-159.775,73.45,60,89,8.05,overcast clouds
150,Novobirilyussy,RU,56.9514,90.6661,37.9,87,100,3.4,light rain
151,Bilgoraj,PL,50.5411,22.722,52.38,67,96,4.5,overcast clouds
152,Novopokrovka,UA,49.8425,36.5477,48.36,76,44,8.72,light rain
153,Pisco,PE,-13.7,-76.2167,64.45,68,0,10.36,clear sky
154,Tema,GH,5.667,-0.0166,79.36,79,91,13.29,overcast clouds
155,Hobart,AU,-42.8794,147.3294,42.06,95,69,11.5,broken clouds
156,Leningradskiy,RU,69.3833,178.4167,29.32,91,100,16.75,light snow
157,Samarai,PG,-10.6167,150.6667,80.06,82,85,10.42,overcast clouds
158,Sitka,US,57.0531,-135.33,55.29,76,100,10.36,overcast clouds
159,Vranje,RS,42.5514,21.9003,53.78,43,57,4.34,broken clouds
160,Ixtapa,MX,20.7,-105.2,85.23,73,97,4.0,overcast clouds
161,Codrington,AU,-38.2667,141.9667,38.41,82,89,8.23,overcast clouds
162,Namatanai,PG,-3.6667,152.4333,79.29,81,46,7.67,light rain
