City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Perote,MX,2022-09-20 17:41:32,19.5667,-97.2333,63.14,65,88,8.05
67,Constitucion,CL,2022-09-20 17:41:33,-35.3333,-72.4167,53.31,60,10,13.15
68,Maragogi,BR,2022-09-20 17:41:33,-9.0122,-35.2225,79.02,67,3,8.72
69,La Ronge,CA,2022-09-20 17:41:23,55.1001,-105.2842,53.85,87,100,9.22
70,Elk City,US,2022-09-20 17:41:34,35.412,-99.4043,89.82,40,0,17.27
71,Mzimba,MW,2022-09-20 17:41:34,-11.9,33.6,69.01,38,1,10.96
72,Muli,MV,2022-09-20 17:41:34,2.9167,73.5667,82.31,73,68,8.08
73,Diego De Almagro,CL,2022-09-20 17:41:35,-26.3667,-70.05,67.01,16,0,11.14
74,Ponta Do Sol,PT,2022-09-20 17:41:35,32.6667,-17.1,78.71,87,57,4.68
75,Mapiripan,CO,2022-09-20 17:41:35,2.8892,-72.1256,91.26,49,50,3.36
76,Bethel,US,2022-09-20 17:37:31,41.3712,-73.414,77.02,67,75,6.91
77,Tilichiki,RU,2022-09-20 17:41:35,60.4667,166.1,44.92,91,100,48.41
78,Port Alfred,ZA,2022-09-20 17:41:36,-33.5906,26.891,58.17,87,59,8.68
79,Halifax,CA,2022-09-20 17:39:53,44.6453,-63.5724,57.2,94,100,21.85
80,Severo-Kurilsk,RU,2022-09-20 17:41:36,50.6789,156.125,47.97,76,31,19.3
81,Ormara,PK,2022-09-20 17:41:36,25.2088,64.6357,80.06,80,24,11.61
82,Baruun-Urt,MN,2022-09-20 17:41:37,46.6806,113.2792,47.34,40,1,11.63
83,Teya,RU,2022-09-20 17:41:37,60.3778,92.6267,30.04,90,48,4.45
84,Mar Del Plata,AR,2022-09-20 17:40:47,-38.0023,-57.5575,55.42,66,0,11.99
85,Pudozh,RU,2022-09-20 17:41:37,61.8099,36.5345,48.54,91,100,9.75
86,Mgachi,RU,2022-09-20 17:41:37,51.05,142.2667,44.83,61,98,12.59
87,Bayir,TR,2022-09-20 17:41:38,37.2687,28.2167,68.52,43,1,6.4
88,Nawalgarh,IN,2022-09-20 17:41:38,27.85,75.2667,82.42,57,53,2.62
89,Doha,QA,2022-09-20 17:41:38,25.2867,51.5333,91.38,75,0,12.66
90,New Norfolk,AU,2022-09-20 17:41:38,-42.7826,147.0587,53.1,65,100,5.01
91,Lac Du Bonnet,CA,2022-09-20 17:41:39,50.2536,-96.0612,66.0,53,35,15.14
92,Ponta Delgada,PT,2022-09-20 17:42:39,37.7333,-25.6667,77.72,69,20,5.75
93,Saint Anthony,US,2022-09-20 17:42:39,45.0205,-93.218,85.14,72,0,9.22
94,Nikolskoye,RU,2022-09-20 17:42:40,59.7035,30.7861,51.69,95,100,3.33
95,Kaeo,NZ,2022-09-20 17:42:40,-35.1,173.7833,56.32,97,97,6.02
96,Alofi,NU,2022-09-20 17:42:40,-19.0595,-169.9187,71.49,94,7,11.5
97,Atuona,PF,2022-09-20 17:42:40,-9.8,-139.0333,76.55,76,34,22.15
98,Hualmay,PE,2022-09-20 17:42:41,-11.0964,-77.6139,66.04,71,50,13.27
99,Bambous Virieux,MU,2022-09-20 17:42:41,-20.3428,57.7575,71.85,83,75,12.66
100,Solnechnyy,RU,2022-09-20 17:42:41,50.7214,136.6319,30.9,79,4,5.26
101,Hithadhoo,MV,2022-09-20 17:42:41,-0.6,73.0833,81.97,69,29,3.67
102,Hobyo,SO,2022-09-20 17:42:42,5.3505,48.5268,77.18,88,8,19.73
103,Zhanjiang,CN,2022-09-20 17:42:42,21.2815,110.3427,79.79,82,45,11.56
104,Guerrero Negro,MX,2022-09-20 17:42:42,27.9769,-114.0611,74.93,66,82,9.86
105,Tanete,ID,2022-09-20 17:42:42,-3.9443,119.7848,72.81,97,99,2.8
106,Talnakh,RU,2022-09-20 17:42:43,69.4865,88.3972,25.21,77,86,6.89
107,Taft,IR,2022-09-20 17:42:43,31.7471,54.2088,80.55,15,20,2.3
108,Lompoc,US,2022-09-20 17:42:43,34.6391,-120.4579,76.01,98,40,5.75
109,Bani,DO,2022-09-20 17:42:43,18.2833,-70.3333,87.24,77,98,12.33
110,Tiarei,PF,2022-09-20 17:42:44,-17.5333,-149.3333,75.22,77,24,18.43
111,Hasaki,JP,2022-09-20 17:42:44,35.7333,140.8333,63.0,85,100,23.51
112,Naryan-Mar,RU,2022-09-20 17:42:44,67.6713,53.087,48.92,91,100,15.32
113,Gewane,ET,2022-09-20 17:42:44,10.1664,40.6453,84.34,44,89,4.12
114,Jamestown,US,2022-09-20 17:40:15,42.097,-79.2353,73.02,54,75,11.5
115,Airai,TL,2022-09-20 17:42:45,-8.9266,125.4092,59.43,91,73,2.93
116,Qaanaaq,GL,2022-09-20 17:42:45,77.484,-69.3632,24.15,58,100,6.44
117,East London,ZA,2022-09-20 17:38:02,-33.0153,27.9116,58.14,94,20,3.44
118,Capim Grosso,BR,2022-09-20 17:42:45,-11.3811,-40.0128,89.11,33,43,10.69
119,Kathmandu,NP,2022-09-20 17:39:03,27.7167,85.3167,71.82,88,75,3.44
120,Mahebourg,MU,2022-09-20 17:42:46,-20.4081,57.7,71.89,83,75,12.66
121,Shelekhov,RU,2022-09-20 17:42:46,52.2139,104.1,44.98,82,95,10.63
122,Visby,SE,2022-09-20 17:42:46,57.6409,18.296,50.22,81,75,12.66
123,Sisimiut,GL,2022-09-20 17:41:49,66.9395,-53.6735,37.78,83,96,9.86
124,Albany,US,2022-09-20 17:38:23,42.6001,-73.9662,72.03,78,90,3.0
125,Selty,RU,2022-09-20 17:42:47,57.3132,52.1345,51.19,72,3,6.33
126,Praia,CV,2022-09-20 17:42:47,14.9215,-23.5087,84.74,58,20,14.97
127,Ushuaia,AR,2022-09-20 17:42:47,-54.8,-68.3,47.86,40,0,10.36
128,Mogadishu,SO,2022-09-20 17:40:58,2.0371,45.3438,77.85,85,60,14.56
129,Chernyshevskiy,RU,2022-09-20 17:42:47,63.0128,112.4714,37.06,98,100,8.21
130,Luba,GQ,2022-09-20 17:42:48,3.4568,8.5547,84.09,83,95,3.15
131,Ripky,UA,2022-09-20 17:42:48,51.801,31.0838,51.03,83,97,5.64
132,Grindavik,IS,2022-09-20 17:42:48,63.8424,-22.4338,54.07,94,100,16.11
133,Necochea,AR,2022-09-20 17:42:48,-38.5473,-58.7368,54.54,47,68,12.26
134,Faanui,PF,2022-09-20 17:42:49,-16.4833,-151.75,78.22,73,17,15.46
135,Goundam,ML,2022-09-20 17:42:49,16.4145,-3.6708,94.32,35,96,13.73
136,Tabligbo,TG,2022-09-20 17:42:49,6.5833,1.5,76.01,85,94,7.38
137,Sitka,US,2022-09-20 17:42:50,57.0531,-135.33,55.29,82,75,3.44
138,Corowa,AU,2022-09-20 17:42:50,-36.0333,146.3833,55.42,71,100,6.51
139,Barra Patuca,HN,2022-09-20 17:43:50,15.8,-84.2833,87.96,61,21,6.42
140,Quatre Cocos,MU,2022-09-20 17:43:50,-20.2078,57.7625,71.71,83,55,18.45
141,Port Lincoln,AU,2022-09-20 17:43:51,-34.7333,135.8667,56.21,92,61,22.26
142,Cabo San Lucas,MX,2022-09-20 17:43:51,22.8909,-109.9124,84.61,81,69,5.99
143,Buraydah,SA,2022-09-20 17:43:51,26.326,43.975,99.05,11,78,22.64
144,Sao Joao Da Barra,BR,2022-09-20 17:41:30,-21.6403,-41.0511,82.49,73,31,17.96
145,Verkhnyaya Inta,RU,2022-09-20 17:43:52,65.9811,60.3094,51.21,81,74,17.78
146,Santa Maria,BR,2022-09-20 17:40:11,-29.6842,-53.8069,70.9,56,20,6.91
147,Togur,RU,2022-09-20 17:43:52,58.3631,82.8265,42.24,91,98,4.94
148,Boralday,KZ,2022-09-20 17:43:52,43.3578,76.8594,66.06,45,40,4.47
149,Udachnyy,RU,2022-09-20 17:43:52,66.4167,112.4,26.46,92,100,15.14
150,Miramar,US,2022-09-20 17:40:07,25.9873,-80.2323,93.99,65,20,10.36
151,Castro,BR,2022-09-20 17:41:46,-24.7911,-50.0119,71.51,62,76,2.35
152,Springdale,US,2022-09-20 17:41:18,36.1867,-94.1288,92.73,51,0,10.36
153,Lata,PT,2022-09-20 17:43:53,40.1629,-8.3327,77.92,72,17,1.59
154,Eatonton,US,2022-09-20 17:43:53,33.3268,-83.3885,90.36,59,0,3.38
155,Kibondo,TZ,2022-09-20 17:43:53,-3.5864,30.7203,76.33,40,88,6.38
156,Olafsvik,IS,2022-09-20 17:43:54,64.8945,-23.7142,51.44,92,100,10.27
157,Jardim,BR,2022-09-20 17:43:54,-21.4803,-56.1381,89.82,49,70,3.71
158,Hegang,CN,2022-09-20 17:43:54,47.4,130.3667,38.73,54,57,4.9
159,Avarua,CK,2022-09-20 17:43:54,-21.2078,-159.775,73.45,83,75,10.36
160,Zhigansk,RU,2022-09-20 17:43:55,66.7697,123.3711,28.22,89,33,14.52
161,Rawson,AR,2022-09-20 17:43:55,-43.3002,-65.1023,48.15,92,100,15.01
162,Igarka,RU,2022-09-20 17:43:55,67.4667,86.5833,29.97,70,88,5.17
163,Haines Junction,CA,2022-09-20 17:43:55,60.7522,-137.5108,42.75,87,100,2.3
164,Catamarca,AR,2022-09-20 17:40:45,-28.4696,-65.7852,64.78,50,39,7.0
165,Flagstaff,US,2022-09-20 17:43:56,35.1981,-111.6513,68.52,63,100,5.75
166,Jalu,LY,2022-09-20 17:43:56,29.0331,21.5482,90.91,22,0,6.38
167,Westport,US,2022-09-20 17:43:56,41.1415,-73.3579,79.16,59,40,5.75
168,Nanortalik,GL,2022-09-20 17:43:57,60.1432,-45.2371,42.22,89,95,10.04
169,Port Blair,IN,2022-09-20 17:41:17,11.6667,92.75,78.84,83,75,0.0
170,Alyangula,AU,2022-09-20 17:43:57,-13.8483,136.4192,76.32,75,41,6.89
171,Yvetot,FR,2022-09-20 17:43:57,49.6174,0.7581,61.02,74,97,7.18
172,Abha,SA,2022-09-20 17:43:57,18.2164,42.5053,66.02,45,40,12.66
173,Skjervoy,NO,2022-09-20 17:43:58,70.0311,20.9714,41.0,66,77,4.07
174,Sur,OM,2022-09-20 17:43:58,22.5667,59.5289,82.53,71,0,14.29
175,Mangai,CD,2022-09-20 17:43:58,-4.05,19.5333,76.35,76,98,1.41
176,Abonnema,NG,2022-09-20 17:43:58,4.7084,6.7931,82.69,83,98,6.67
177,Amberley,US,2022-09-20 17:43:59,39.2048,-84.428,86.56,56,0,3.44
178,Aklavik,CA,2022-09-20 17:43:59,68.2191,-135.0107,42.8,87,100,6.91
179,Penzance,GB,2022-09-20 17:43:59,50.1186,-5.5371,63.72,63,20,5.75
180,Ixtapa,MX,2022-09-20 17:44:00,20.7,-105.2,84.22,79,100,6.91
